Name,Address,Price,Rating
element troy chromoly 2020 new 10speed,Makassar,Rp4.999.000,5
Pelindung Rantai Sepeda Lipat - Protector Chain Folding Bike - Pelindung Sepeda Lipat - Clamp Sepeda Lipat - Chain Guide Sepeda Lipat,Kendal,Rp27.000,4.9
Chainring Litepro 53T BCD 5 Bolt 130mm with Guard Original - 4 warna,Jakarta Utara,Rp150.000,5
Xiaomi QiCycle Sepeda Elektrik Lipat Smart Bicycle,Jakarta Barat,Rp8.730.000,4.9
READY STOCK DAHON YUKI 16 INCH NOT FNHON - BIRU,Jakarta Utara,Rp2.900.000,5
sepeda lipat 20 exotic explore 3 3.0 300,Jambi,Rp1.800.000,4.6
Xiaomi HIMO C20 Sepeda Elektrik Lipat Smart QICYCLE Bicycle 250W,Jakarta Barat,Rp8.040.000,4.8
Lankeleisi G650 Sepeda lipat Elektrik Listrik,Tangerang,Rp8.820.000,4.5
Sepeda Lipat - Brompton S6R - Cloud Blue - Orange,Kab. Tangerang,Rp34.000.000,4.5
Sepeda Lipat - Sepeda Dahon Ion Eugene 20,Bekasi,Rp4.580.000,4.5
Xiaomi HIMO Z20 Sepeda Lipat Elektrik Smart Moped Bicycle 250W 80KM,Tangerang,Rp9.150.000,5
Sepeda 16 Lipat Evergreen 1Speed,Kab. Bogor,Rp997.500,4.9
Sepeda 16 Lipat Evergreen  6Speeds,Kab. Bogor,Rp1.140.000,4.8
Sepeda Lipat - Sepeda Police Milan,Bekasi,Rp1.840.000,4.8
Lankeleisi Sepeda Elektrik Lipat Luxury Editon G550 Hitam Merah,Tangerang,Rp9.300.000,5
Sepeda 20 Lipat Exotic 2026MK Cakram,Kab. Bogor,Rp1.850.000,4.7
Sepeda Lipat 16 Anak dan dewasa Evergreen,Jakarta Barat,Rp950.000,4.6
sepeda lipat 20 Inch Pacific skull 3.0 alloy rem hydraulic hidrolik Folding bike,Jambi,Rp2.800.000,5
Sepeda Lipat 20 Pacific Splendid 3.0,Jambi,Rp2.850.000,4.8
Sepeda Lipat 16 Stylo 2020,Jambi,Rp2.200.000,5
sepeda lipat 16 stylo united,Jakarta Barat,Rp2.600.000,5
GROSIR Sepeda Gunung Elektrik Smart Moped 36V 10AH - Lankeleisi  RS600,Jakarta Barat,Rp7.660.000,4.9
Sepeda Lipat United Trifold 7S 7 speed,Jambi,Rp8.500.000,5
Sepeda Xiaomi HIMO C20 Elektrik Lipat Smart Moped Bicycle 250W,Tangerang,Rp8.500.000,5
BTWIN Tilt 500 XS 14 inch Sepeda Lipat - Silver,Tangerang,Rp5.750.000,4.5
Lankeleisi QF600 Sepeda Elektrik Lipat Smart Moped 36V 10Ah 400W,Jakarta Barat,Rp7.600.000,5
Sepeda lipat 20 United Stylo,Jambi,Rp2.800.000,5
Sepeda lipat 20 Pacific 2980 RX 8.0 8 speed rem hidrolik,Jambi,Rp2.050.000,4.5
Folding bike seli sepeda lipat 20 inci Exotic 2026 SL DB VT,Jambi,Rp1.800.000,5
sepeda lipat 16 inch Pacific 2980 rx 9.0 2021 9 speed rem hidrolik hydraulic disc brake,Jambi,Rp2.620.000,4
Sepeda lipat 16 bnb dream folding bike,Jambi,Rp1.850.000,Terjual 46
Lankeleisi Sepeda Elektrik Lipat Moped Sport Version XT750,Tangerang,Rp12.470.400,4.7
Lankeleisi Sepeda Elektrik MTB Lipat Elite Version XT600,Tangerang,Rp8.875.000,5
Sepeda Lipat - United Stylo Beat 20,Bekasi,Rp2.550.000,4.5
Sepeda lipat 20 Noris 2.3,Jambi,Rp2.850.000,4
Sepeda lipat 20 bnb chris,Jambi,Rp1.650.000,4.8
sepeda lipat seli Genio F211 Folding Bike,Jambi,Rp1.750.000,4.7
Sepeda lipat 20 Avand Chester X 10 speed,Jambi,Rp5.950.000,4.8
BTWIN Limited Edition Tilt 120 20 inch Folding Bike - Red,Tangerang,Rp3.500.000,4.8
Xiaomi HIMO C20 Sepeda Elektrik Lipat Smart QICYCLE Bicycle 250W warna putih,Jakarta Barat,Rp8.040.000,5
Sepeda Elektrik Lipat Luxury Edition 48V 10.4AH Lankeleisi,Jakarta Barat,Rp9.312.100,4.7
Sepeda Lipat - Sepeda United Mirone Pro,Bekasi,Rp5.990.000,4
Sepeda Lipat 20 inch EXOTIC 2026,Jambi,Rp1.850.000,4.7
Sepeda Lipat - Polygon Urbano 5,Bekasi,Rp5.870.000,5
Sepeda Lipat Electric United Orion E Folding Bike,Jambi,Rp8.750.000,5
Sepeda lipat 20 United Nigma 10 speed,Jambi,Rp3.100.000,5
Sepeda Lipat 16 Pacific 2980 HT DB 7 speed,Jambi,Rp1.900.000,4
Sepeda lipat 20 Morison 8118 db 7 speed disc brake rem cakram Murah,Jambi,Rp1.200.000,3
Sepeda Lipat Pacific Noris 2.0 By pacific 8 speed,Jambi,Rp2.800.000,5
FOLDING BIKE 3SIXTY  3speed Sturmey Archer Internal Gear seli sepeda lipat fnhon dahon tern trifold,Kab. Bandung,Rp6.800.000,5
BTWIN Hoptown Sepeda Lipat Tilt 100 20 inch Folding Bike - Black,Tangerang,Rp2.999.000,5
Sepeda lipat seli United Quest Cl 04 Folding bike 20 inch Cl04 full susp suspension suspensi per offroad,Jambi,Rp2.500.000,4
Sepeda lipat 20 inch United Stylo Beat 7 speed Folding Bike Terbaru,Jambi,Rp2.450.000,Terjual 40
Sepeda 20 Lipat Pacific 2980 RX Cakram 7Speeds,Kab. Bogor,Rp2.110.000,4.9
Lankeleisi Sepeda Elektrik Lipat Moped Elite Version XT750,Tangerang,Rp10.499.900,5
Sepeda lipat 20 noris 2 2.0,Jambi,Rp2.800.000,4.8
Sepeda 16 Lipat Odessy Ritz 7Speeda Cakram New 2021,Kab. Bogor,Rp1.400.000,4.7
Sepeda lipat 20 bnb nich pro 9.2 18 speed 2 x 9 speed,Jambi,Rp3.150.000,5
Sepeda Lipat United Trifold 3S,Jakarta Barat,Rp7.000.000,4.9
Sepeda Lipat Tern Link B7,Jakarta Barat,Rp5.350.000,4.9
Sepeda Lipat Polygon Urbano 3,Jakarta Barat,Rp4.100.000,5
E bike United IO Sepeda Lipat Listrik 16 inch elektrik,Jambi,Rp11.450.000,Terjual 35
Sepeda 20 Lipat Odessy Phyton 2021 7Speeds Cakram New,Kab. Bogor,Rp1.450.000,4.6
Sepeda lipat 20 Pacific 2980 RX 6.8 db vt,Jambi,Rp4.250.000,4.7
sepeda lipat dewasa United Trifold 1 speed,Jambi,Rp5.700.000,5
Sepeda lipat United Roar 2.0 16 inch 8 speed 2021,Jambi,Rp3.900.000,4.5
Sepeda lipat 20 E bike Folding Electric United Photon mirip Furion Ex,Jambi,Rp14.800.000,4.5
Sepeda Lipat United Trifold 3S,Jambi,Rp6.700.000,4
Sepeda Lipat Pacific Bike Noris 2.0 Alloy 20 inch Seli Grey Yellow Folding United Splendid Dahon Ecosmo Troy Foldx Element Exotic Gojek Gosend,Jakarta Barat,Rp1.950.000,4.9
Sepeda lipat 20 bnb nich pro 9.1 alloy 9 speed rem hidrolik,Jambi,Rp2.950.000,4.5
Sepeda Lipat 16 Inch Pacific Splendid AX VT,Jambi,Rp2.500.000,4
Sepeda 20 Lipat Exotic 2026MX 7Speeds New Design,Kab. Bogor,Rp1.850.000,4.9
Sepeda Lipat United Trifold 7 internal Gear,Jakarta Barat,Rp8.500.000,4.9
Sepeda lipat 20 Morison 7 speed Murah Berkualitas,Jambi,Rp1.260.000,4.6
GROSIR Sepeda Elektrik Lipat Smart Moped Sports Version 48V 10AH - Lankeleisi  XT750,Jakarta Barat,Rp12.220.000,5
sepeda lipat 16 inch pacific skull alloy murah 10 speed rem hidrolik hydraulic folding bike,Jambi,Rp2.200.000,4.9
Sepeda Lipat 20  Pacific Noris 2.1,Jambi,Rp5.300.000,4.1
Sepeda Lipat POLICE TEXAS BIKE TO WORK,Jakarta Barat,Rp2.969.000,4.9
Sepeda lipat 20 Genio F211 20.1 2021 Folding Bike Terbaru,Jambi,Rp1.750.000,4.8
Sepeda lipat 20 E bike Folding Electric United EX 2020 mirip Furion,Jambi,Rp13.000.000,5
SEPEDA LIPAT 20 EVERGREEN BEARING 7 SPEED,Jakarta Barat,Rp1.300.000,4.9
Sepeda Lipat Exotic Second Sepeda Lipat Bekas United Pasific,Kab. Bekasi,Rp685.000,4.8
Sepeda Lipat Elektrik Lankeleisi Moped Lite Edition 48V 8.7AH - G660,Jakarta Barat,Rp7.624.400,Terjual 26
Sepeda 16 Lipat Exotic 2026MX Shimano,Kab. Bogor,Rp1.800.000,4.7
Sepeda 20 lipat Odessy Ritz 7Speeds Cakram New,Kab. Bogor,Rp1.550.000,4.5
Sepeda Listrik Lipat Xiaomi Himo Z20 Z16 Foldable Electric Bicycle,Jakarta Pusat,Rp8.450.000,5
Sepeda lipat Folding Bike 16 inch Genio Lunox 1.0 7 Speed by United,Jambi,Rp1.690.000,5
BTWIN Hoptown Sepeda Lipat Tilt 500 20 Inch Folding Bike - Dark Blue,Tangerang,Rp4.750.000,4
Sepeda 16 Lipat Odessy Phyton 7Speeds Cakram New,Kab. Bogor,Rp1.400.000,4.9
Sepeda 20 Lipat Pacific New 2980RX Velg Tinggi 7Speeds Shimano,Kab. Bogor,Rp2.110.000,4.9
Sepeda lipat United Mirone Folding Bike 20 inch 10 speed,Jambi,Rp6.750.000,4.7
Sepeda lipat United Nigma II 2 20 inch 2021 alloy 8 speed disc brake folding bike,Jambi,Rp2.680.000,5
Termurah Sepeda Lipat 20 inch BNB Chris 7 Speed Shimano Disc Brake Cakram Folding Bike Murah Berkualitas,Jambi,Rp1.650.000,5
Folding bike sepeda lipat 20 inch Dominate Coupe 2021 8 speed alloy disc brake not fnhon dahon element ecosmo pacific noris United Camp snoke hazy,Jambi,Rp3.350.000,4
Sepeda Lipat Element Ecosmo 9,Jakarta Barat,Rp4.520.000,5
Sepeda Listrik Lipat Xiaomi Himo Z20 Z16 Foldable Electric Bicycle,Jakarta Utara,Rp8.567.500,4.8
Sepeda lipat 16 inch Pacific Flux 3.0 8 speed Folding bike Not troy fnhon gust,Jambi,Rp1.900.800,5
Sepeda lipat 20 Pacific 2980 HT VB,Jambi,Rp3.400.000,5
SEPEDA LIPAT 20 PACIFIC 2980 HT DB 7 SPEED SHIMANO,Jambi,Rp2.050.000,5
Sepeda Lipat 20 inch Folding Bike Pacific Exotic 2026 MS DB VT,Jambi,Rp1.800.000,5
Sepeda Lipat Crius Litepro Velocity 20 Disc Brake 9 Speed2 Warna-Folding Bike,Jakarta Utara,Rp8.490.000,4
Sepeda Lipat 16 inch Genio Runes 1.0 Folding bike Chromoly 8 speed seli Cakram by United,Jambi,Rp2.250.000,Terjual 22
Sepeda Lipat Element Ecosmo 8,Jakarta Barat,Rp2.175.000,4.9
READY STOCK DAHON K3 NOT FNHON,Jakarta Utara,Rp8.500.000,5
PROMO SEPEDA LIPAT ANAK 16 AXXIL  DENGAN RODA SAMPING,Kab. Tangerang,Rp650.000,4.7
Sepeda Lipat Pacific Bike Noris 2.3 Alloy 20 inch Seli Black Rainbow Grey Yellow Folding United Stylo Splendid Pikes Dahon Ecosmo Foldx Pro Element Exotic,Jakarta Barat,Rp2.700.000,5
Sepeda 20 Lipat Exotic ET 2026 MG Disc 7Speeds Shimano,Kab. Bogor,Rp1.850.000,4.8
READY STOCK DAHON Vitesse D8 20 INCH - MERAH,Jakarta Utara,Rp5.900.000,5
Sepeda Lipat 3Sixty Seli Folding Bike Bicycle Empire,Tasikmalaya,Rp7.000.000,4.9
Brompton Rear Triangle Titanium Hinge - Engsel Titanium Segitiga Belakang Brompton,Tangerang,Rp400.000,5
Sepeda Lipat United Genio Lunox Seli Termurah Bukan Pacific Noris Alloy Seli Folding Stylo Splendid Pikes Dahon Ecosmo Element Exotic Paling Murah,Jakarta Barat,Rp1.850.000,4.7
Sepeda Lipat Element Ecosmo Z8,Jakarta Barat,Rp2.610.000,5
Sepeda Lipat Seli Police Milan 8 Speed Black Gold Bonus Helm RMB RG-02,Jember,Rp1.860.000,5
Sepeda 16 Lipat United Stylo,Kab. Bogor,Rp2.250.000,5
Sepeda Lipat United Nigma II Alloy 10 speed Disc Brake,Tangerang,Rp2.650.000,4.9
Sepeda 16 Lipat Pacific New 2980 RX V-Brake 7Speeds Shimano,Kab. Bogor,Rp2.200.000,4.5
Sepeda Lipat - Brompton M6R - Cloud Blue Black,Kab. Tangerang,Rp37.000.000,5
Sepeda Lipat - Police Texas Bike to Work,Bekasi,Rp3.220.000,5
Sepeda Lipat - Sepeda Fnhon Gust Disc Brake 349 16,Bekasi,Rp14.644.900,5
Sepeda Lipat Folding 20 Rubick Gyro 8 Speed Bicycle Empire,Tasikmalaya,Rp1.990.000,5
READY STOCK DAHON K3 BLACK RED MERAH HITAM NOT BRPMPTON FNHON,Jakarta Utara,Rp6.600.000,5
Sepeda Lipat Element Troy X 9,Jakarta Barat,Rp3.985.000,5
FAMILY LIPAT ANAK 16 VIOLET PINK,Jakarta Timur,Rp1.100.000,4.8
Sepeda Lipat Odessy 20 7Speed Shimano,Kab. Bekasi,Rp1.300.000,4.1
Sepeda Lipat FoldX X9 Z11 Limited Edition,Jakarta Barat,Rp6.100.000,5
Sepeda 20 Lipat United New Stylo 5Speeds,Kab. Bogor,Rp2.250.000,4.4
Sepeda 16 Lipat Axxil New Design 2021,Kab. Bogor,Rp700.000,5
SEPEDA LIPAT 16 INCH FOLDING BIKE EVERGREEN 6 SPEED UNTUK ANAK ANAK SAMPAI DEWASA,Jakarta Barat,Rp1.050.000,4.9
Sepeda Lipat Element Troy 16 Chromoly 9 speed Disc brake Mirip Fnhon Gust,Tangerang,Rp5.290.000,4.9
Sepeda Lipat Exotic second Sepeda bekas Siap Pakai masih Normal Pasific United,Kab. Bekasi,Rp675.000,4.6
Sepeda lipat 16 exotic ET 2026 MG DB,Jambi,Rp2.400.000,4
Sepeda 20 Lipat Evergreen 7Speeds Cakram,Kab. Bogor,Rp1.350.000,5
Sepeda Lipat Tern Verge D9,Jakarta Barat,Rp6.800.000,5
Sepeda Lipat Camp Hazy 9s,Jakarta Barat,Rp3.900.000,4.9
SEPEDA LIPAT 16 ODESSY PHYTON 7SPEED,Kab. Bogor,Rp1.325.000,4.5
Sepeda Lipat Element Troy X 10 Speed Gold Chromolly Not Roadbike MTB,Jakarta Barat,Rp3.990.000,5
Sepeda Lipat 3 Sixty M3,Jakarta Barat,Rp8.500.000,5
Sepeda 20 Lipat Evergreen,Kab. Bogor,Rp1.200.000,4.9
Sepeda Lipat Genio Lunox 1.0 16 inch Boncengan,Tangerang,Rp1.675.000,4.9
Sepeda Lipat Folding Bike Tern Verge P10,Jakarta Barat,Rp11.000.000,4.8
Noris 2.2 SR Sepeda Lipat Original Pacific Bike 20 inch Terbaru Frame Alloy Rem Hidrolik 9 Speed Aloy Alumunium Not 2.0 2.1 2 2 2.3 Pro Garansi Resmi,Jakarta Barat,Rp2.750.000,5
Sepeda 16 Lipat Exotic 2026MG Cakram 7Speeds Shimano,Kab. Bogor,Rp1.800.000,5
Sepeda Lipat 20 inch GENIO LUNOX 1.0,Tangerang,Rp1.750.000,5
Hand grip atau busa stang sepeda lipat,Bekasi,Rp20.000,5
Sepeda Lipat Element Troy X,Jakarta Barat,Rp5.344.000,5
Sepeda Lipat UNITED Mirone PRO,Jakarta Barat,Rp5.700.000,5
Dahon Ion Denver 10 speed Deore Disc brake Alloy 20 inch,Tangerang,Rp6.900.000,4.7
PACIFIC ILLUTION 3.0 CARBON SORA 9 SPEED DISC BRAKE HIDROLIK 20 INCH,Tangerang,Rp12.500.000,4.8
sepeda lipat 20 stylo united 5 speed,Jakarta Barat,Rp2.250.000,5
Sepeda Lipat UNITED ETrifold Ebike,Jakarta Barat,Rp20.000.000,5
